wandb-name,wandb-project,wandb-entity,wandb-group,device,loss-type,threshold,zero-ablation,reset-subject,seed,task,torch-num-threads,model-type,test_kl_div,test_nll,test_match_nll,score,number_of_edges
launch-acdc-induction-00022,jailbreak_llm,pariya_mehrbod,acdc-induction,cuda,kl_div,0.0001,False,0,2130967407,induction,4,attn-only-4l,0.0014553070068359,1.0234375,0.0097503662109375,inf,298
launch-acdc-induction-00023,jailbreak_llm,pariya_mehrbod,acdc-induction,cuda,kl_div,0.0002511886431509,False,0,450094628,induction,4,attn-only-4l,0.012786865234375,1.0361328125,0.022430419921875,inf,270
launch-acdc-induction-00024,jailbreak_llm,pariya_mehrbod,acdc-induction,cuda,kl_div,0.0006309573444801,False,0,402349885,induction,4,attn-only-4l,0.0311737060546875,1.05859375,0.0455322265625,inf,225
launch-acdc-induction-00025,jailbreak_llm,pariya_mehrbod,acdc-induction,cuda,kl_div,0.0015848931924611,False,0,3596685807,induction,4,attn-only-4l,0.07696533203125,1.1171875,0.103759765625,inf,179
launch-acdc-induction-00026,jailbreak_llm,pariya_mehrbod,acdc-induction,cuda,kl_div,0.0039810717055349,False,0,3601675602,induction,4,attn-only-4l,0.21630859375,1.259765625,0.2464599609375,inf,140
launch-acdc-induction-00027,jailbreak_llm,pariya_mehrbod,acdc-induction,cuda,kl_div,0.01,False,0,1347439318,induction,4,attn-only-4l,0.27587890625,1.302734375,0.289306640625,inf,108
launch-acdc-induction-00028,jailbreak_llm,pariya_mehrbod,acdc-induction,cuda,kl_div,0.0251188643150958,False,0,2809240500,induction,4,attn-only-4l,0.55859375,1.59375,0.580078125,inf,92
launch-acdc-induction-00029,jailbreak_llm,pariya_mehrbod,acdc-induction,cuda,kl_div,0.0630957344480193,False,0,3672942202,induction,4,attn-only-4l,0.97900390625,1.96875,0.95556640625,inf,73
launch-acdc-induction-00030,jailbreak_llm,pariya_mehrbod,acdc-induction,cuda,kl_div,0.1584893192461114,False,0,2837779777,induction,4,attn-only-4l,2.404296875,3.380859375,2.3671875,inf,57
launch-acdc-induction-00031,jailbreak_llm,pariya_mehrbod,acdc-induction,cuda,kl_div,0.3981071705534973,False,0,2438439592,induction,4,attn-only-4l,6.20703125,7.20703125,6.19140625,inf,47
launch-acdc-induction-00032,jailbreak_llm,pariya_mehrbod,acdc-induction,cuda,kl_div,1.0,False,0,829347651,induction,4,attn-only-4l,11.2421875,12.234375,11.21875,inf,8
launch-acdc-induction-00033,jailbreak_llm,pariya_mehrbod,acdc-induction,cuda,nll,0.0001,False,0,1426547147,induction,4,attn-only-4l,0.0073776245117187,1.0146484375,0.0010671615600585,inf,293
