wandb-name,wandb-project,wandb-entity,wandb-group,device,lr,loss-type,epochs,verbose,lambda-reg,zero-ablation,reset-subject,seed,num-examples,seq-len,n-loss-average-runs,task,torch-num-threads,model-type,number_of_nodes,specific_metric,nodes_to_mask,test_kl_div,test_docstring_metric,test_docstring_stefan,test_nll,test_match_nll,number_of_edges,percentage_binary
launch-sp-docstring-00000,jailbreak_llm,pariya_mehrbod,sp-{task},cuda,0.001,kl_div,10000,1,0.01,0,0,1325277,50,41,20,docstring,4,attn-only-4l,89,3.780223874375224,"['blocks.0.hook_resid_mid[:]', 'blocks.1.attn.hook_k[:, :, 2]', 'blocks.1.attn.hook_v[:, :, 3]', 'blocks.1.attn.hook_v[:, :, 5]', 'blocks.1.attn.hook_v[:, :, 6]', 'blocks.1.attn.hook_k[:, :, 7]', 'blocks.1.hook_resid_mid[:]', 'blocks.2.attn.hook_k[:, :, 1]', 'blocks.2.attn.hook_q[:, :, 4]', 'blocks.2.attn.hook_k[:, :, 4]', 'blocks.2.attn.hook_q[:, :, 7]', 'blocks.2.hook_resid_mid[:]', 'blocks.3.attn.hook_v[:, :, 2]', 'blocks.3.attn.hook_q[:, :, 5]', 'blocks.3.hook_resid_mid[:]']",3.556607374921441,-13.300758846104143,-11.499999672174454,39.02012932300568,0.5556730711832643,1203,0.7083333333333334
launch-sp-docstring-00001,jailbreak_llm,pariya_mehrbod,sp-{task},cuda,0.001,kl_div,10000,1,0.025,0,0,1245509803,50,41,20,docstring,4,attn-only-4l,87,2.4077264051884413,"['blocks.0.attn.hook_q[:, :, 4]', 'blocks.0.attn.hook_v[:, :, 6]', 'blocks.0.attn.hook_q[:, :, 7]', 'blocks.0.hook_resid_mid[:]', 'blocks.1.attn.hook_k[:, :, 3]', 'blocks.1.attn.hook_q[:, :, 4]', 'blocks.1.attn.hook_v[:, :, 5]', 'blocks.1.attn.hook_k[:, :, 6]', 'blocks.1.attn.hook_k[:, :, 7]', 'blocks.1.hook_resid_mid[:]', 'blocks.2.attn.hook_k[:, :, 0]', 'blocks.2.attn.hook_k[:, :, 1]', 'blocks.2.attn.hook_k[:, :, 6]', 'blocks.2.attn.hook_q[:, :, 7]', 'blocks.2.hook_resid_mid[:]', 'blocks.3.attn.hook_v[:, :, 1]', 'blocks.3.hook_resid_mid[:]']",3.1335166972130537,-9.846927888691424,-12.95999962091446,37.55643689632416,3.8014243403449655,1223,0.78125
launch-sp-docstring-00002,jailbreak_llm,pariya_mehrbod,sp-{task},cuda,0.001,kl_div,10000,1,0.063,0,0,2610168330,50,41,20,docstring,4,attn-only-4l,88,3.680439878255129,"['blocks.0.hook_resid_mid[:]', 'blocks.1.attn.hook_k[:, :, 0]', 'blocks.1.attn.hook_v[:, :, 5]', 'blocks.1.attn.hook_k[:, :, 6]', 'blocks.1.attn.hook_v[:, :, 6]', 'blocks.1.attn.hook_k[:, :, 7]', 'blocks.1.hook_resid_mid[:]', 'blocks.2.attn.hook_q[:, :, 6]', 'blocks.2.attn.hook_k[:, :, 6]', 'blocks.2.attn.hook_k[:, :, 7]', 'blocks.2.hook_resid_mid[:]', 'blocks.3.attn.hook_k[:, :, 1]', 'blocks.3.attn.hook_v[:, :, 2]', 'blocks.3.attn.hook_q[:, :, 4]', 'blocks.3.attn.hook_q[:, :, 5]', 'blocks.3.hook_resid_mid[:]']",2.070186184719205,-10.025102250277996,-11.459999591112137,44.1375207901001,7.520372521132231,1169,0.7291666666666666
launch-sp-docstring-00000,jailbreak_llm,pariya_mehrbod,sp-docstring,cuda,0.001,kl_div,10000,1,0.01,0,0,1325277,50,41,20,docstring,4,attn-only-4l,89,3.780223874375224,"['blocks.0.hook_resid_mid[:]', 'blocks.1.attn.hook_k[:, :, 2]', 'blocks.1.attn.hook_v[:, :, 3]', 'blocks.1.attn.hook_v[:, :, 5]', 'blocks.1.attn.hook_v[:, :, 6]', 'blocks.1.attn.hook_k[:, :, 7]', 'blocks.1.hook_resid_mid[:]', 'blocks.2.attn.hook_k[:, :, 1]', 'blocks.2.attn.hook_q[:, :, 4]', 'blocks.2.attn.hook_k[:, :, 4]', 'blocks.2.attn.hook_q[:, :, 7]', 'blocks.2.hook_resid_mid[:]', 'blocks.3.attn.hook_v[:, :, 2]', 'blocks.3.attn.hook_q[:, :, 5]', 'blocks.3.hook_resid_mid[:]']",3.556607374921441,-13.300758846104143,-11.499999672174454,39.02012932300568,0.5556730711832643,1203,0.7083333333333334
launch-sp-docstring-00001,jailbreak_llm,pariya_mehrbod,sp-docstring,cuda,0.001,kl_div,10000,1,0.04,0,0,1245509803,50,41,20,docstring,4,attn-only-4l,87,2.413061710074544,"['blocks.0.attn.hook_q[:, :, 4]', 'blocks.0.attn.hook_v[:, :, 6]', 'blocks.0.attn.hook_q[:, :, 7]', 'blocks.0.hook_resid_mid[:]', 'blocks.1.attn.hook_k[:, :, 3]', 'blocks.1.attn.hook_q[:, :, 4]', 'blocks.1.attn.hook_v[:, :, 5]', 'blocks.1.attn.hook_k[:, :, 6]', 'blocks.1.attn.hook_k[:, :, 7]', 'blocks.1.hook_resid_mid[:]', 'blocks.2.attn.hook_k[:, :, 0]', 'blocks.2.attn.hook_k[:, :, 1]', 'blocks.2.attn.hook_k[:, :, 6]', 'blocks.2.attn.hook_q[:, :, 7]', 'blocks.2.hook_resid_mid[:]', 'blocks.3.attn.hook_v[:, :, 1]', 'blocks.3.hook_resid_mid[:]']",3.14878841675818,-9.832598619163036,-12.95999962091446,37.56355154514313,3.805590588599443,1223,0.78125
launch-sp-docstring-00002,jailbreak_llm,pariya_mehrbod,sp-docstring,cuda,0.001,kl_div,10000,1,0.158,0,0,2610168330,50,41,20,docstring,4,attn-only-4l,86,3.700215317308903,"['blocks.0.hook_resid_mid[:]', 'blocks.1.attn.hook_k[:, :, 0]', 'blocks.1.attn.hook_v[:, :, 5]', 'blocks.1.attn.hook_k[:, :, 6]', 'blocks.1.attn.hook_v[:, :, 6]', 'blocks.1.attn.hook_k[:, :, 7]', 'blocks.1.hook_resid_mid[:]', 'blocks.2.attn.hook_q[:, :, 4]', 'blocks.2.attn.hook_q[:, :, 6]', 'blocks.2.attn.hook_k[:, :, 6]', 'blocks.2.attn.hook_q[:, :, 7]', 'blocks.2.attn.hook_k[:, :, 7]', 'blocks.2.hook_resid_mid[:]', 'blocks.3.attn.hook_k[:, :, 1]', 'blocks.3.attn.hook_v[:, :, 2]', 'blocks.3.attn.hook_q[:, :, 4]', 'blocks.3.attn.hook_q[:, :, 5]', 'blocks.3.hook_resid_mid[:]']",2.1651103384792805,-9.990451969206331,-11.51999967545271,44.19056284427643,7.645361600443721,1133,0.7291666666666666
launch-sp-docstring-00003,jailbreak_llm,pariya_mehrbod,sp-docstring,cuda,0.001,kl_div,10000,1,0.631,0,0,2852940166,50,41,20,docstring,4,attn-only-4l,78,2.037969674915076,"['blocks.0.attn.hook_k[:, :, 3]', 'blocks.0.attn.hook_q[:, :, 4]', 'blocks.0.hook_resid_mid[:]', 'blocks.1.attn.hook_q[:, :, 3]', 'blocks.1.attn.hook_v[:, :, 3]', 'blocks.1.attn.hook_v[:, :, 5]', 'blocks.1.attn.hook_k[:, :, 6]', 'blocks.1.attn.hook_v[:, :, 6]', 'blocks.1.attn.hook_q[:, :, 7]', 'blocks.1.attn.hook_k[:, :, 7]', 'blocks.1.hook_resid_mid[:]', 'blocks.2.attn.hook_k[:, :, 1]', 'blocks.2.attn.hook_q[:, :, 4]', 'blocks.2.attn.hook_k[:, :, 4]', 'blocks.2.attn.hook_k[:, :, 6]', 'blocks.2.attn.hook_q[:, :, 7]', 'blocks.2.attn.hook_k[:, :, 7]', 'blocks.2.hook_resid_mid[:]', 'blocks.3.attn.hook_k[:, :, 1]', 'blocks.3.attn.hook_v[:, :, 1]', 'blocks.3.attn.hook_k[:, :, 2]', 'blocks.3.attn.hook_v[:, :, 2]', 'blocks.3.attn.hook_k[:, :, 3]', 'blocks.3.attn.hook_q[:, :, 4]', 'blocks.3.attn.hook_q[:, :, 5]', 'blocks.3.hook_resid_mid[:]']",4.405646655708551,-10.157378450036047,-11.63999965786934,39.53031122684479,4.514154873788357,1013,0.7916666666666666
launch-sp-docstring-00004,jailbreak_llm,pariya_mehrbod,sp-docstring,cuda,0.001,kl_div,10000,1,3.0,0,0,2572051083,50,41,20,docstring,4,attn-only-4l,54,3.936997726559639,"['blocks.0.attn.hook_v[:, :, 2]', 'blocks.0.attn.hook_q[:, :, 3]', 'blocks.0.attn.hook_k[:, :, 3]', 'blocks.0.attn.hook_v[:, :, 3]', 'blocks.0.attn.hook_q[:, :, 4]', 'blocks.0.attn.hook_k[:, :, 4]', 'blocks.0.attn.hook_v[:, :, 4]', 'blocks.0.attn.hook_v[:, :, 6]', 'blocks.0.attn.hook_q[:, :, 7]', 'blocks.0.attn.hook_k[:, :, 7]', 'blocks.0.attn.hook_v[:, :, 7]', 'blocks.0.hook_resid_mid[:]', 'blocks.1.attn.hook_k[:, :, 1]', 'blocks.1.attn.hook_v[:, :, 2]', 'blocks.1.attn.hook_q[:, :, 3]', 'blocks.1.attn.hook_k[:, :, 3]', 'blocks.1.attn.hook_v[:, :, 3]', 'blocks.1.attn.hook_q[:, :, 4]', 'blocks.1.attn.hook_v[:, :, 5]', 'blocks.1.attn.hook_q[:, :, 6]', 'blocks.1.attn.hook_k[:, :, 6]', 'blocks.1.attn.hook_v[:, :, 6]', 'blocks.1.attn.hook_q[:, :, 7]', 'blocks.1.attn.hook_k[:, :, 7]', 'blocks.1.attn.hook_v[:, :, 7]', 'blocks.1.hook_resid_mid[:]', 'blocks.2.attn.hook_q[:, :, 1]', 'blocks.2.attn.hook_k[:, :, 1]', 'blocks.2.attn.hook_k[:, :, 3]', 'blocks.2.attn.hook_q[:, :, 4]', 'blocks.2.attn.hook_k[:, :, 4]', 'blocks.2.attn.hook_q[:, :, 5]', 'blocks.2.attn.hook_k[:, :, 5]', 'blocks.2.attn.hook_q[:, :, 6]', 'blocks.2.attn.hook_k[:, :, 6]', 'blocks.2.attn.hook_q[:, :, 7]', 'blocks.2.attn.hook_k[:, :, 7]', 'blocks.2.attn.hook_v[:, :, 7]', 'blocks.2.hook_resid_mid[:]', 'blocks.3.attn.hook_q[:, :, 1]', 'blocks.3.attn.hook_k[:, :, 1]', 'blocks.3.attn.hook_v[:, :, 1]', 'blocks.3.attn.hook_q[:, :, 2]', 'blocks.3.attn.hook_k[:, :, 2]', 'blocks.3.attn.hook_v[:, :, 2]', 'blocks.3.attn.hook_q[:, :, 3]', 'blocks.3.attn.hook_k[:, :, 3]', 'blocks.3.attn.hook_q[:, :, 4]', 'blocks.3.attn.hook_v[:, :, 6]', 'blocks.3.hook_resid_mid[:]']",4.562235727906227,-4.383927781134844,-11.259999737143517,38.86637437343597,9.05654286146455,537,0.90625
launch-sp-docstring-00005,jailbreak_llm,pariya_mehrbod,sp-docstring,cuda,0.001,kl_div,10000,1,6.0,0,0,1905955923,50,41,20,docstring,4,attn-only-4l,40,7.827268004417419,"['blocks.0.attn.hook_q[:, :, 1]', 'blocks.0.attn.hook_v[:, :, 2]', 'blocks.0.attn.hook_q[:, :, 3]', 'blocks.0.attn.hook_k[:, :, 3]', 'blocks.0.attn.hook_v[:, :, 3]', 'blocks.0.attn.hook_q[:, :, 4]', 'blocks.0.attn.hook_k[:, :, 4]', 'blocks.0.attn.hook_v[:, :, 4]', 'blocks.0.attn.hook_v[:, :, 6]', 'blocks.0.attn.hook_q[:, :, 7]', 'blocks.0.attn.hook_k[:, :, 7]', 'blocks.0.attn.hook_v[:, :, 7]', 'blocks.0.hook_resid_mid[:]', 'blocks.1.attn.hook_k[:, :, 0]', 'blocks.1.attn.hook_v[:, :, 0]', 'blocks.1.attn.hook_q[:, :, 1]', 'blocks.1.attn.hook_k[:, :, 1]', 'blocks.1.attn.hook_v[:, :, 2]', 'blocks.1.attn.hook_q[:, :, 3]', 'blocks.1.attn.hook_k[:, :, 3]', 'blocks.1.attn.hook_v[:, :, 3]', 'blocks.1.attn.hook_q[:, :, 4]', 'blocks.1.attn.hook_q[:, :, 5]', 'blocks.1.attn.hook_k[:, :, 5]', 'blocks.1.attn.hook_v[:, :, 5]', 'blocks.1.attn.hook_q[:, :, 6]', 'blocks.1.attn.hook_k[:, :, 6]', 'blocks.1.attn.hook_v[:, :, 6]', 'blocks.1.attn.hook_q[:, :, 7]', 'blocks.1.attn.hook_k[:, :, 7]', 'blocks.1.attn.hook_v[:, :, 7]', 'blocks.1.hook_resid_mid[:]', 'blocks.2.attn.hook_q[:, :, 1]', 'blocks.2.attn.hook_k[:, :, 1]', 'blocks.2.attn.hook_v[:, :, 2]', 'blocks.2.attn.hook_q[:, :, 3]', 'blocks.2.attn.hook_k[:, :, 3]', 'blocks.2.attn.hook_q[:, :, 4]', 'blocks.2.attn.hook_k[:, :, 4]', 'blocks.2.attn.hook_v[:, :, 4]', 'blocks.2.attn.hook_q[:, :, 5]', 'blocks.2.attn.hook_k[:, :, 5]', 'blocks.2.attn.hook_q[:, :, 6]', 'blocks.2.attn.hook_k[:, :, 6]', 'blocks.2.attn.hook_v[:, :, 6]', 'blocks.2.attn.hook_q[:, :, 7]', 'blocks.2.attn.hook_k[:, :, 7]', 'blocks.2.attn.hook_v[:, :, 7]', 'blocks.2.hook_resid_mid[:]', 'blocks.3.attn.hook_q[:, :, 1]', 'blocks.3.attn.hook_k[:, :, 1]', 'blocks.3.attn.hook_v[:, :, 1]', 'blocks.3.attn.hook_q[:, :, 2]', 'blocks.3.attn.hook_k[:, :, 2]', 'blocks.3.attn.hook_v[:, :, 2]', 'blocks.3.attn.hook_q[:, :, 3]', 'blocks.3.attn.hook_k[:, :, 3]', 'blocks.3.attn.hook_v[:, :, 3]', 'blocks.3.attn.hook_q[:, :, 4]', 'blocks.3.attn.hook_k[:, :, 4]', 'blocks.3.attn.hook_v[:, :, 4]', 'blocks.3.attn.hook_q[:, :, 5]', 'blocks.3.attn.hook_q[:, :, 7]', 'blocks.3.hook_resid_mid[:]']",6.935548663139343,-13.149253023788331,-13.259999692440031,38.264471888542175,3.351125092129223,333,0.9270833333333334
launch-sp-docstring-00006,jailbreak_llm,pariya_mehrbod,sp-docstring,cuda,0.001,kl_div,10000,1,9.0,0,0,1826165277,50,41,20,docstring,4,attn-only-4l,36,7.303698852658272,"['blocks.0.attn.hook_v[:, :, 1]', 'blocks.0.attn.hook_q[:, :, 2]', 'blocks.0.attn.hook_v[:, :, 2]', 'blocks.0.attn.hook_q[:, :, 3]', 'blocks.0.attn.hook_k[:, :, 3]', 'blocks.0.attn.hook_v[:, :, 3]', 'blocks.0.attn.hook_q[:, :, 4]', 'blocks.0.attn.hook_k[:, :, 4]', 'blocks.0.attn.hook_v[:, :, 4]', 'blocks.0.attn.hook_q[:, :, 6]', 'blocks.0.attn.hook_k[:, :, 6]', 'blocks.0.attn.hook_v[:, :, 6]', 'blocks.0.attn.hook_q[:, :, 7]', 'blocks.0.attn.hook_k[:, :, 7]', 'blocks.0.attn.hook_v[:, :, 7]', 'blocks.0.hook_resid_mid[:]', 'blocks.1.attn.hook_q[:, :, 0]', 'blocks.1.attn.hook_k[:, :, 0]', 'blocks.1.attn.hook_q[:, :, 1]', 'blocks.1.attn.hook_k[:, :, 1]', 'blocks.1.attn.hook_k[:, :, 2]', 'blocks.1.attn.hook_v[:, :, 2]', 'blocks.1.attn.hook_q[:, :, 3]', 'blocks.1.attn.hook_k[:, :, 3]', 'blocks.1.attn.hook_v[:, :, 3]', 'blocks.1.attn.hook_q[:, :, 4]', 'blocks.1.attn.hook_q[:, :, 5]', 'blocks.1.attn.hook_k[:, :, 5]', 'blocks.1.attn.hook_v[:, :, 5]', 'blocks.1.attn.hook_q[:, :, 6]', 'blocks.1.attn.hook_k[:, :, 6]', 'blocks.1.attn.hook_v[:, :, 6]', 'blocks.1.attn.hook_q[:, :, 7]', 'blocks.1.attn.hook_k[:, :, 7]', 'blocks.1.attn.hook_v[:, :, 7]', 'blocks.1.hook_resid_mid[:]', 'blocks.2.attn.hook_q[:, :, 1]', 'blocks.2.attn.hook_k[:, :, 1]', 'blocks.2.attn.hook_v[:, :, 2]', 'blocks.2.attn.hook_q[:, :, 3]', 'blocks.2.attn.hook_k[:, :, 3]', 'blocks.2.attn.hook_q[:, :, 4]', 'blocks.2.attn.hook_k[:, :, 4]', 'blocks.2.attn.hook_v[:, :, 4]', 'blocks.2.attn.hook_q[:, :, 5]', 'blocks.2.attn.hook_k[:, :, 5]', 'blocks.2.attn.hook_q[:, :, 6]', 'blocks.2.attn.hook_k[:, :, 6]', 'blocks.2.attn.hook_v[:, :, 6]', 'blocks.2.attn.hook_q[:, :, 7]', 'blocks.2.attn.hook_k[:, :, 7]', 'blocks.2.attn.hook_v[:, :, 7]', 'blocks.2.hook_resid_mid[:]', 'blocks.3.attn.hook_q[:, :, 1]', 'blocks.3.attn.hook_k[:, :, 1]', 'blocks.3.attn.hook_v[:, :, 1]', 'blocks.3.attn.hook_q[:, :, 2]', 'blocks.3.attn.hook_k[:, :, 2]', 'blocks.3.attn.hook_v[:, :, 2]', 'blocks.3.attn.hook_q[:, :, 3]', 'blocks.3.attn.hook_k[:, :, 3]', 'blocks.3.attn.hook_v[:, :, 3]', 'blocks.3.attn.hook_q[:, :, 4]', 'blocks.3.attn.hook_k[:, :, 4]', 'blocks.3.attn.hook_v[:, :, 4]', 'blocks.3.attn.hook_q[:, :, 5]', 'blocks.3.attn.hook_q[:, :, 7]', 'blocks.3.hook_resid_mid[:]']",8.868309289216995,-0.1327273873612284,-12.77999985218048,40.58912777900696,6.877581003122032,296,0.90625
