wandb-name,wandb-project,wandb-entity,wandb-group,device,lr,loss-type,epochs,verbose,lambda-reg,zero-ablation,reset-subject,seed,num-examples,seq-len,n-loss-average-runs,task,torch-num-threads,model-type,number_of_nodes,specific_metric,nodes_to_mask,test_l2,test_kl_div,number_of_edges,percentage_binary
launch-sp-tracr-proportion-00000,jailbreak_llm,pariya_mehrbod,sp-{task},cpu,0.001,kl_div,10000,1,0.001,0,0,1325277,50,5,20,tracr-proportion,4,attn-only-4l,5,0.0317590675285828,"['blocks.0.attn.hook_q[:, :, 0]', 'blocks.0.attn.hook_k[:, :, 0]', 'blocks.0.attn.hook_v[:, :, 0]', 'blocks.1.attn.hook_q[:, :, 0]', 'blocks.1.hook_resid_mid[:]']",0.3057383011255297,0.0279697596015466,13,1.0
launch-sp-tracr-proportion-00000,jailbreak_llm,pariya_mehrbod,sp-{task},cpu,0.001,kl_div,10000,1,0.001,0,0,1325277,50,5,20,tracr-proportion,4,attn-only-4l,5,0.0317590675285828,"['blocks.0.attn.hook_q[:, :, 0]', 'blocks.0.attn.hook_k[:, :, 0]', 'blocks.0.attn.hook_v[:, :, 0]', 'blocks.1.attn.hook_q[:, :, 0]', 'blocks.1.hook_resid_mid[:]']",0.3057383011255297,0.0279697596015466,13,1.0
launch-sp-tracr-proportion-00001,jailbreak_llm,pariya_mehrbod,sp-{task},cpu,0.001,kl_div,10000,1,0.004,0,0,1245509803,50,5,20,tracr-proportion,4,attn-only-4l,5,0.0356899653106665,"['blocks.0.attn.hook_q[:, :, 0]', 'blocks.0.attn.hook_k[:, :, 0]', 'blocks.0.attn.hook_v[:, :, 0]', 'blocks.1.attn.hook_q[:, :, 0]', 'blocks.1.hook_resid_mid[:]']",0.3922636580136895,0.0372389351973652,13,1.0
launch-sp-tracr-proportion-00002,jailbreak_llm,pariya_mehrbod,sp-{task},cpu,0.001,kl_div,10000,1,0.016,0,0,2610168330,50,5,20,tracr-proportion,4,attn-only-4l,5,0.0061558829494288,"['blocks.0.attn.hook_q[:, :, 0]', 'blocks.0.attn.hook_k[:, :, 0]', 'blocks.0.attn.hook_v[:, :, 0]', 'blocks.1.attn.hook_q[:, :, 0]', 'blocks.1.hook_resid_mid[:]']",0.0526201105915333,0.0047781101795436,13,1.0
launch-sp-tracr-proportion-00003,jailbreak_llm,pariya_mehrbod,sp-{task},cpu,0.001,kl_div,10000,1,0.063,0,0,2852940166,50,5,20,tracr-proportion,4,attn-only-4l,5,0.0420562519793747,"['blocks.0.attn.hook_q[:, :, 0]', 'blocks.0.attn.hook_k[:, :, 0]', 'blocks.0.attn.hook_v[:, :, 0]', 'blocks.1.attn.hook_q[:, :, 0]', 'blocks.1.hook_resid_mid[:]']",0.3867418147274293,0.0359755927347578,13,1.0
launch-sp-tracr-proportion-00004,jailbreak_llm,pariya_mehrbod,sp-{task},cpu,0.001,kl_div,10000,1,0.251,0,0,2572051083,50,5,20,tracr-proportion,4,attn-only-4l,2,0.284978817217052,"['blocks.0.attn.hook_q[:, :, 0]', 'blocks.0.attn.hook_k[:, :, 0]', 'blocks.0.attn.hook_v[:, :, 0]', 'blocks.0.hook_resid_mid[:]', 'blocks.1.attn.hook_q[:, :, 0]', 'blocks.1.attn.hook_k[:, :, 0]', 'blocks.1.attn.hook_v[:, :, 0]', 'blocks.1.hook_resid_mid[:]']",7.048314303159714,0.5891661029309034,3,1.0
launch-sp-tracr-proportion-00005,jailbreak_llm,pariya_mehrbod,sp-{task},cpu,0.001,kl_div,10000,1,1.0,0,0,1905955923,50,5,20,tracr-proportion,4,attn-only-4l,2,0.3638141229748726,"['blocks.0.attn.hook_q[:, :, 0]', 'blocks.0.attn.hook_k[:, :, 0]', 'blocks.0.attn.hook_v[:, :, 0]', 'blocks.0.hook_resid_mid[:]', 'blocks.1.attn.hook_q[:, :, 0]', 'blocks.1.attn.hook_k[:, :, 0]', 'blocks.1.attn.hook_v[:, :, 0]', 'blocks.1.hook_resid_mid[:]']",3.644444644451141,0.2863521873950958,3,1.0
launch-sp-tracr-proportion-00006,jailbreak_llm,pariya_mehrbod,sp-{task},cpu,0.001,l2,10000,1,0.001,0,0,1826165277,50,5,20,tracr-proportion,4,attn-only-4l,5,0.0426867742789909,"['blocks.0.attn.hook_q[:, :, 0]', 'blocks.0.attn.hook_k[:, :, 0]', 'blocks.0.attn.hook_v[:, :, 0]', 'blocks.1.attn.hook_q[:, :, 0]', 'blocks.1.hook_resid_mid[:]']",0.0192463401472196,0.0033122403183369,13,0.8333333333333334
launch-sp-tracr-proportion-00007,jailbreak_llm,pariya_mehrbod,sp-{task},cpu,0.001,l2,10000,1,0.004,0,0,2696503193,50,5,20,tracr-proportion,4,attn-only-4l,5,0.4363273532944731,"['blocks.0.attn.hook_q[:, :, 0]', 'blocks.0.attn.hook_k[:, :, 0]', 'blocks.0.attn.hook_v[:, :, 0]', 'blocks.1.attn.hook_q[:, :, 0]', 'blocks.1.hook_resid_mid[:]']",0.4108062270097434,0.034504128696426,13,1.0
launch-sp-tracr-proportion-00008,jailbreak_llm,pariya_mehrbod,sp-{task},cpu,0.001,l2,10000,1,0.016,0,0,2400066064,50,5,20,tracr-proportion,4,attn-only-4l,5,0.0886831105841565,"['blocks.0.attn.hook_q[:, :, 0]', 'blocks.0.attn.hook_k[:, :, 0]', 'blocks.0.attn.hook_v[:, :, 0]', 'blocks.1.attn.hook_q[:, :, 0]', 'blocks.1.hook_resid_mid[:]']",0.0927991248254898,0.0080393192378327,13,1.0
launch-sp-tracr-proportion-00009,jailbreak_llm,pariya_mehrbod,sp-{task},cpu,0.001,l2,10000,1,0.063,0,0,365637787,50,5,20,tracr-proportion,4,attn-only-4l,5,0.151115745306015,"['blocks.0.attn.hook_q[:, :, 0]', 'blocks.0.attn.hook_k[:, :, 0]', 'blocks.0.attn.hook_v[:, :, 0]', 'blocks.1.attn.hook_q[:, :, 0]', 'blocks.1.hook_resid_mid[:]']",0.1828864216804504,0.0165270343422889,13,0.8333333333333334
launch-sp-tracr-proportion-00010,jailbreak_llm,pariya_mehrbod,sp-{task},cpu,0.001,l2,10000,1,0.251,0,0,197368186,50,5,20,tracr-proportion,4,attn-only-4l,5,0.2323821903919452,"['blocks.0.attn.hook_q[:, :, 0]', 'blocks.0.attn.hook_k[:, :, 0]', 'blocks.0.attn.hook_v[:, :, 0]', 'blocks.1.attn.hook_q[:, :, 0]', 'blocks.1.hook_resid_mid[:]']",0.3200964260395267,0.0309080964298118,13,0.8333333333333334
launch-sp-tracr-proportion-00011,jailbreak_llm,pariya_mehrbod,sp-{task},cpu,0.001,l2,10000,1,1.0,0,0,258315872,50,5,20,tracr-proportion,4,attn-only-4l,5,0.0115357977593504,"['blocks.0.attn.hook_q[:, :, 0]', 'blocks.0.attn.hook_k[:, :, 0]', 'blocks.0.attn.hook_v[:, :, 0]', 'blocks.1.attn.hook_q[:, :, 0]', 'blocks.1.hook_resid_mid[:]']",0.0149731241241681,0.0014944738747908,13,0.8333333333333334
launch-sp-tracr-proportion-00012,jailbreak_llm,pariya_mehrbod,sp-{task},cpu,0.001,kl_div,10000,1,0.001,1,0,444930045,50,5,20,tracr-proportion,4,attn-only-4l,6,0.001876616292207,"['blocks.0.attn.hook_q[:, :, 0]', 'blocks.0.attn.hook_k[:, :, 0]', 'blocks.0.attn.hook_v[:, :, 0]', 'blocks.1.hook_resid_mid[:]']",0.010728417273669,0.000978823178272,16,1.0
